Bank_ID,Card_Link,Card_Image,Card_ID,Card_Type,Card_Network,Islamic,Annual_Fee,Joining_Fee,Interest_Rate_APR,Foreign_Transaction_Fee,Balance_Transfer_Fee,Cash_Advance_Fee,Grace_Period_Days,Late_Payment_Fee,Min_Age,Max_Age,Minimum_Credit_Score,Minimum_Income,Credit_Limit,Welcome_Bonus_Points,Max_Annual_Points,Points_per_1_Hotel,Points_per_1_International,Points_per_1_Domestic_Shopping,Points_per_1_Domestic_Groceries,Points_per_1_Domestic_Other,Express_Points_Available,Express_Points_Fee,Airport_Lounge_Access,Mastercard_Lounge_Access,Complimentary_Airport_Transfers,Hotel_Free_Nights,Marriott_Bonvoy_Elite_Status,Elite_Night_Credits,Free_Night_Award,Rental_Collision_Loss_Damage_Waiver,Travel_Insurance,Travel_Insurance_Confirmation_Letter,Dining_Benefits,Shopping_Benefits,Lifestyle_Benefits,Health_Wellness_Benefits,Subscription_Discounts,Bicester_Village_Shopping_Offers,Farfetch_Discount,Bookingcom_Discount,MyUS_Premium_Shipping,Lingokids_Discount,Complimentary_Food_Drink_Costa,Valet_Parking,Hertz_Gold_Plus_Rewards,Avis_Car_Rental_Discount,Lime_Discounted_Rides,Auto_Salik_Topup,Instant_Cash_Withdrawal,Insurance_Benefits,Credit_Shield_Pro,Purchase_Protection,Extended_Warranty,Roadside_Assistance,24_Hour_Assistance,DoubleSecure_Protection,No_Foreign_Transaction_Fee,Mastercard_Global_Emergency_Services,Concierge_Service,Movie_Benefits,Golf_Privilege,Flexible_Payment_Options,Interest_Free_Days,Online_Access,SMS_Alerts,Crypto_Rewards,Mastercard_Experience_Offers
2,https://www.emiratesnbd.com/en/cards/credit-cards/darna-visa-infinite-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/darna/darna_infinite_card_img.png,Darna Visa Infinite Credit Card,1,1,0,1575,N/A,3.25,,,,,,,,,30000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/darna-visa-signature-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/darna/aldar_darna_signature_card_lat_img.png,Darna Visa Signature Credit Card,1,1,0,300,N/A,3.25,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/darna-select-visa-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/darna/aldar_darna_select_card_image.png,Darna Select Visa Credit Card,1,1,0,N/A,N/A,3.49,,,,,,,,,5000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,,0,0,0,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/skywards-infinite-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/skywards-infinite_card.png,Skywards Infinite Credit Card,1,0,0,1575,3148,N/A,,,,,,,,,30000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/marriott-bonvoy-world-elite-mastercard-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/marriott-bonvoy-cc/marriott_world_elite_cc_img.png,Marriott Bonvoy® World Elite Mastercard®,1,2,0,1575,N/A,3.25,,,,,,,,,25000,,,,,,,,,,,0,,0,,,,,1,,1,,,,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,,,0,1,1,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/etihad-guest-visa-elevate,https://www.emiratesnbd.com/-/media/enbd/images/card/credit-card/etihad-guest-elevate/etihad-guest-visa-elevate-creditcard_image.png,Etihad Guest Visa Elevate,1,1,0,1575,2625,N/A,,,,,,,,,30000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/u-by-emaar-infinite-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/emaar-infinite_card.png,U By Emaar Infinite Credit Card,1,0,0,1575,N/A,3.25,,,,,,,,,30000,,,,,,,,,,,1,,0,,,,,0,,0,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/dnata-world-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/dnata_card.png,dnata World Credit Card,1,0,0,1048,N/A,3.25,,,,,,,,,20000,,,,,,,,,,,0,,0,,,,,0,,1,,,,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,,,0,1,0,,,,1,1,1,,1
2,https://www.emiratesnbd.com/en/cards/credit-cards/skywards-signature-credit-card,https://www.emiratesnbd.com/-/media/enbd/images/products/cards/credit-cards/new-cards-images/skywards-signature_card.png,Skywards Signature Credit Card,1,0,0,735,N/A,N/A,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,,,0,0,1,,,,1,1,1,,0
2,https://www.emiratesnbd.com/en/cards/credit-cards/marriott-bonvoy-world-mastercard,https://www.emiratesnbd.com/-/media/enbd/images/marriott-bonvoy-cc/marriott_world_world_cc_img.png,Marriott Bonvoy® World Mastercard®,1,2,0,315,N/A,3.25,,,,,,,,,12000,,,,,,,,,,,0,,0,,,,,0,,1,,,,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,,,0,1,1,,,,1,1,1,,1
